# 「샘」(질량손실) 게이트 판정 — 기준 B · (무리 · 신호) 짝 (미해결 #84 · 세션 7.77)
# [가정값: 업계 공개자료 전형범위 · 프로젝트정리 5장] 실측 아님
# 가정값 기반 — 실측 아님.
#
# 내는 명령: .venv/Scripts/python.exe -m cdu_simul.massloss_gate --pairs
#   (읽는 것은 results/cdu_dataset.csv 하나다. 판정 기준·임계는 이 파일이
#    만들지 않는다 — docs/session745-massloss-gate-criteria.md 의 것을 쓴다.)
#
# 실린 짝: 이상 기구를 진 CDU 만 9,600. 뺀 짝 7,680 —
#   이웃 CDU 다. 뺀 근거는 기준 문서 2-4: 기대 부호는 기구를 진
#   CDU 에서 나온 것이라 이웃 CDU 의 통과·실패가 무엇을 뜻하는지
#   정해지지 않았다. 리포트의 통과율도 같은 모집단으로 내므로,
#   목록과 통과율이 같은 모집단을 봐야 합격선을 그을 때 어긋나지
#   않는다.
#   **이 파일은 전 짝이 아니다.** 이웃 CDU 짝까지 내려면 같은
#   명령에 --all-cdu 를 붙인다 (--pairs --all-cdu) — 그러면 같은
#   두 파일이 전 짝으로 다시 쓰인다. 세션 7.77 은 붙이지 않았다.
#
# 여유(margin) = value − threshold. **> 0 이면 통과쪽 여유다.**
#   A: value = delta_abs × expected_sign · threshold = 0 (원단위)
#   C: value = |delta_judged| · threshold = NOISE_THRESHOLD[unit] (판정단위)
#   B: margin = 수준 오름차순 |Δ| 의 이웃 차 최소 · threshold = 0 (원단위)
#   「해당 없음」 짝의 여유는 판정에 쓰이지 않는다 — 자리만 채운다.
#   unit 열은 **신호의 판정단위**(리포트와 같다)이고, A 의 value·margin 은
#   그것과 달리 원단위다 — 어느 쪽인지는 margin_unit 열이 말한다.
criterion,pump_head_rated_mAq,branch_dp_rated_mAq,valve_dp_rated_mAq,ntu,T_secondary_supply_C,cdu_config,cdu_index,load_percent,residual_return_share,pump_sees_supply_flow,share_uses_return_flow,signal,verdict,margin,threshold,margin_unit
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,False,False,⑴ 총유량,통과,0.004013865259496541,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,False,False,⑵ 펌프 양정,통과,0.010435494756507069,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,False,False,⑶ 주입랙 통과유량,통과,0.0005017331574368455,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,False,False,⑷ 타 랙 유량,통과,0.0005017331574368455,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,False,False,⑸ 주입랙 출구온도,통과,0.005690338063814693,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,False,True,⑴ 총유량,통과,0.004017985638396837,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,False,True,⑵ 펌프 양정,통과,0.010434255670588755,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,False,True,⑶ 주입랙 통과유량,통과,0.0005022482047987165,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,False,True,⑷ 타 랙 유량,통과,0.0005022482047987165,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,False,True,⑸ 주입랙 출구온도,통과,0.004393293471736115,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,True,False,⑴ 총유량,해당 없음,1.6344900366505044e-05,0.0,원단위
B,20.0,2.0,3.0,2.0,27.0,dual_asymmetric,0,20.0,0.0,True,False,⑵ 펌프 양정,해당 없음,4.9921519078566234e-06,0.0,원단위
