# 「샘」(질량손실) 게이트 판정 — 기준 A·C · (행 · 신호) 짝 (미해결 #84 · 세션 7.77)
# [가정값: 업계 공개자료 전형범위 · 프로젝트정리 5장] 실측 아님
# 가정값 기반 — 실측 아님.
#
# 내는 명령: .venv/Scripts/python.exe -m cdu_simul.massloss_gate --pairs
#   (읽는 것은 results/cdu_dataset.csv 하나다. 판정 기준·임계는 이 파일이
#    만들지 않는다 — docs/session745-massloss-gate-criteria.md 의 것을 쓴다.)
#
# 실린 짝: 이상 기구를 진 CDU 만 48,000. 뺀 짝 38,400 —
#   이웃 CDU 다. 뺀 근거는 기준 문서 2-4: 기대 부호는 기구를 진
#   CDU 에서 나온 것이라 이웃 CDU 의 통과·실패가 무엇을 뜻하는지
#   정해지지 않았다. 리포트의 통과율도 같은 모집단으로 내고,
#   합격선(이 모집단 전수에서 통과율 100 % · 사람이 2026-09-08 에
#   정했다 · CLAUDE.md 게이트 표 세션 4 줄)도 이 모집단에서 판정한다.
#   **이 파일은 전 짝이 아니다.** 이웃 CDU 짝까지 내려면 같은
#   명령에 --all-cdu 를 붙인다 (--pairs --all-cdu) — 그러면 같은
#   두 파일이 전 짝으로 다시 쓰인다. 세션 7.77 은 붙이지 않았다.
#
# 여유(margin) = value − threshold. **> 0 이면 통과쪽 여유다.**
#   A: value = delta_abs × expected_sign · threshold = 0 (원단위)
#   C: value = |delta_judged| · threshold = NOISE_THRESHOLD[unit] (판정단위)
#   B: margin = 수준 오름차순 |Δ| 의 이웃 차 최소 · threshold = 0 (원단위)
#   「해당 없음」 짝의 여유는 판정에 쓰이지 않는다 — 자리만 채운다.
#   unit 열은 **신호의 판정단위**(리포트와 같다)이고, A 의 value·margin 은
#   그것과 달리 원단위다 — 어느 쪽인지는 margin_unit 열이 말한다.
criterion,scenario_id,cdu_index,signal,leak_cdu,level,unit,verdict,threshold,value,margin,margin_unit
A,steady|massloss|H22.4/dPb2/dPv3|NTU2|T2nd27|L20|Qfrac0.25|g0|pumpsup|single,0,⑴ 총유량,True,0.25,%,해당 없음,0.0,-1.6380745217148274e-05,-1.6380745217148274e-05,원단위
A,steady|massloss|H22.4/dPb2/dPv3|NTU2|T2nd27|L20|Qfrac0.25|g0|pumpsup|dual_symmetric|shareret,0,⑴ 총유량,True,0.25,%,해당 없음,0.0,-1.2235402703453246e-05,-1.2235402703453246e-05,원단위
A,steady|massloss|H22.4/dPb2/dPv3|NTU2|T2nd27|L20|Qfrac0.25|g0|pumpsup|dual_symmetric|sharesup,0,⑴ 총유량,True,0.25,%,해당 없음,0.0,-1.637898486350764e-05,-1.637898486350764e-05,원단위
A,steady|massloss|H22.4/dPb2/dPv3|NTU2|T2nd27|L20|Qfrac0.25|g0|pumpsup|dual_asymmetric|shareret,0,⑴ 총유량,True,0.25,%,해당 없음,0.0,-1.2239968240734811e-05,-1.2239968240734811e-05,원단위
A,steady|massloss|H22.4/dPb2/dPv3|NTU2|T2nd27|L20|Qfrac0.25|g0|pumpsup|dual_asymmetric|sharesup,0,⑴ 총유량,True,0.25,%,해당 없음,0.0,-1.6391476862054333e-05,-1.6391476862054333e-05,원단위
A,steady|massloss|H22.4/dPb2/dPv3|NTU2|T2nd27|L20|Qfrac0.25|g0|pumpret|single,0,⑴ 총유량,True,0.25,%,통과,0.0,0.004041056398667919,0.004041056398667919,원단위
A,steady|massloss|H22.4/dPb2/dPv3|NTU2|T2nd27|L20|Qfrac0.25|g0|pumpret|dual_symmetric|shareret,0,⑴ 총유량,True,0.25,%,통과,0.0,0.004044765734915856,0.004044765734915856,원단위
A,steady|massloss|H22.4/dPb2/dPv3|NTU2|T2nd27|L20|Qfrac0.25|g0|pumpret|dual_symmetric|sharesup,0,⑴ 총유량,True,0.25,%,통과,0.0,0.004040621974851888,0.004040621974851888,원단위
A,steady|massloss|H22.4/dPb2/dPv3|NTU2|T2nd27|L20|Qfrac0.25|g0|pumpret|dual_asymmetric|shareret,0,⑴ 총유량,True,0.25,%,통과,0.0,0.004044762285863257,0.004044762285863257,원단위
A,steady|massloss|H22.4/dPb2/dPv3|NTU2|T2nd27|L20|Qfrac0.25|g0|pumpret|dual_asymmetric|sharesup,0,⑴ 총유량,True,0.25,%,통과,0.0,0.004040610599890471,0.004040610599890471,원단위
